"location_name","year_id","sex","age_group","mean","lower","upper","measure"
"China",2019,"Male","0 to 14",3.77414149682584,3.6388359616055,3.92285706235678,"Blood lead (ug/dL)"
"China",2019,"Female","0 to 14",3.38002841439745,3.25408044409927,3.50751197308937,"Blood lead (ug/dL)"
"Democratic People's Republic of Korea",2019,"Male","0 to 14",7.55341076795407,6.30195789551214,9.07247649208704,"Blood lead (ug/dL)"
"Democratic People's Republic of Korea",2019,"Female","0 to 14",6.40756286967415,5.32836523752758,7.63473309228545,"Blood lead (ug/dL)"
"Taiwan (Province of China)",2019,"Male","0 to 14",2.07173547589403,1.80462316547113,2.38033102909734,"Blood lead (ug/dL)"
"Taiwan (Province of China)",2019,"Female","0 to 14",1.49563919280699,1.27781200306593,1.74204580207632,"Blood lead (ug/dL)"
"Cambodia",2019,"Male","0 to 14",6.14157409715874,5.10148363383609,7.39564048293945,"Blood lead (ug/dL)"
"Cambodia",2019,"Female","0 to 14",5.26703326325066,4.445010019627,6.28706631090265,"Blood lead (ug/dL)"
"Indonesia",2019,"Male","0 to 14",3.68760490465068,3.4858416924358,3.88403692191521,"Blood lead (ug/dL)"
"Indonesia",2019,"Female","0 to 14",3.24905376034879,3.09070019067251,3.43556192816223,"Blood lead (ug/dL)"
"Lao People's Democratic Republic",2019,"Male","0 to 14",4.30188698372353,3.5917233464921,5.08268541478001,"Blood lead (ug/dL)"
"Lao People's Democratic Republic",2019,"Female","0 to 14",3.93417420200695,3.24818756251408,4.66886836220425,"Blood lead (ug/dL)"
"Malaysia",2019,"Male","0 to 14",1.57042013148647,1.32440072113773,1.86200669613316,"Blood lead (ug/dL)"
"Malaysia",2019,"Female","0 to 14",1.45926840368009,1.22706910307488,1.74454511383006,"Blood lead (ug/dL)"
"Maldives",2019,"Male","0 to 14",3.02240237166698,2.54539699947802,3.61013306413694,"Blood lead (ug/dL)"
"Maldives",2019,"Female","0 to 14",2.66855280069643,2.25528100148687,3.13392120923801,"Blood lead (ug/dL)"
"Myanmar",2019,"Male","0 to 14",4.63781549988562,3.88196151646274,5.49134839675762,"Blood lead (ug/dL)"
"Myanmar",2019,"Female","0 to 14",4.08352566664242,3.41725604809443,4.85576835425133,"Blood lead (ug/dL)"
"Philippines",2019,"Male","0 to 14",5.84888746475466,4.84985094317791,7.03081154507744,"Blood lead (ug/dL)"
"Philippines",2019,"Female","0 to 14",4.70321909321226,3.86986094198346,5.60279512469116,"Blood lead (ug/dL)"
"Sri Lanka",2019,"Male","0 to 14",2.88443536363026,2.4129411671498,3.40025416566843,"Blood lead (ug/dL)"
"Sri Lanka",2019,"Female","0 to 14",2.40421281699781,1.99057433787323,2.86624056935169,"Blood lead (ug/dL)"
"Thailand",2019,"Male","0 to 14",2.04887155290016,1.72080052670191,2.40753522867264,"Blood lead (ug/dL)"
"Thailand",2019,"Female","0 to 14",1.57076959220273,1.31012319272967,1.88510737321903,"Blood lead (ug/dL)"
"Timor-Leste",2019,"Male","0 to 14",5.56219189653239,4.68239513407871,6.62947309541609,"Blood lead (ug/dL)"
"Timor-Leste",2019,"Female","0 to 14",5.07198305131948,4.19479740466618,6.06118157598286,"Blood lead (ug/dL)"
"Viet Nam",2019,"Male","0 to 14",3.8836660961498,3.20887189665012,4.61383173647649,"Blood lead (ug/dL)"
"Viet Nam",2019,"Female","0 to 14",3.19361762697847,2.66219195501373,3.81521119709991,"Blood lead (ug/dL)"
"Fiji",2019,"Male","0 to 14",1.57157484427544,1.31238286845845,1.86889722886607,"Blood lead (ug/dL)"
"Fiji",2019,"Female","0 to 14",1.55938883549783,1.305991777147,1.85175860722634,"Blood lead (ug/dL)"
"Kiribati",2019,"Male","0 to 14",4.34630951152568,3.63780750178552,5.10439452234624,"Blood lead (ug/dL)"
"Kiribati",2019,"Female","0 to 14",3.77005443361635,3.17399886192194,4.49302522167941,"Blood lead (ug/dL)"
"Marshall Islands",2019,"Male","0 to 14",2.79355694585472,2.35346405210756,3.32827521889272,"Blood lead (ug/dL)"
"Marshall Islands",2019,"Female","0 to 14",2.6541865120389,2.22402123846131,3.16206424536308,"Blood lead (ug/dL)"
"Micronesia (Federated States of)",2019,"Male","0 to 14",3.10873589676554,2.62068389856741,3.73447525636176,"Blood lead (ug/dL)"
"Micronesia (Federated States of)",2019,"Female","0 to 14",2.68114939496646,2.21704173132765,3.19836183924959,"Blood lead (ug/dL)"
"Papua New Guinea",2019,"Male","0 to 14",2.38298927041581,2.00787334356034,2.82757487669505,"Blood lead (ug/dL)"
"Papua New Guinea",2019,"Female","0 to 14",2.30873498239436,1.94219600271895,2.76527752058165,"Blood lead (ug/dL)"
"Samoa",2019,"Male","0 to 14",2.44737198807982,2.03998838003285,2.92043837787662,"Blood lead (ug/dL)"
"Samoa",2019,"Female","0 to 14",2.25558171658113,1.87403302568684,2.68880206767475,"Blood lead (ug/dL)"
"Solomon Islands",2019,"Male","0 to 14",4.74239717980018,3.95939518021509,5.62031442710349,"Blood lead (ug/dL)"
"Solomon Islands",2019,"Female","0 to 14",4.30590245047512,3.58683847122473,5.13733929611525,"Blood lead (ug/dL)"
"Tonga",2019,"Male","0 to 14",2.03805553653477,1.71592353751546,2.39799839441233,"Blood lead (ug/dL)"
"Tonga",2019,"Female","0 to 14",1.9974740178405,1.68433251132431,2.38044661281165,"Blood lead (ug/dL)"
"Vanuatu",2019,"Male","0 to 14",3.31059095159636,2.7517065339705,3.90233453936885,"Blood lead (ug/dL)"
"Vanuatu",2019,"Female","0 to 14",3.27150459344997,2.72596918145324,3.87601112256507,"Blood lead (ug/dL)"
"Armenia",2019,"Male","0 to 14",2.6139516619206,2.16513196061872,3.0893043320655,"Blood lead (ug/dL)"
"Armenia",2019,"Female","0 to 14",2.74837284444982,2.31007273106298,3.26610830921804,"Blood lead (ug/dL)"
"Azerbaijan",2019,"Male","0 to 14",2.38630078815451,1.98328833408753,2.83364995789298,"Blood lead (ug/dL)"
"Azerbaijan",2019,"Female","0 to 14",2.50643819515139,2.10262615476879,2.99372739616017,"Blood lead (ug/dL)"
"Georgia",2019,"Male","0 to 14",2.31454621067207,1.92231562145604,2.75856728625281,"Blood lead (ug/dL)"
"Georgia",2019,"Female","0 to 14",2.40043094171053,1.9680799099028,2.90208268626956,"Blood lead (ug/dL)"
"Kazakhstan",2019,"Male","0 to 14",1.94469178141052,1.64541835054742,2.29619405501243,"Blood lead (ug/dL)"
"Kazakhstan",2019,"Female","0 to 14",2.05496575837234,1.72212386705364,2.42741822908915,"Blood lead (ug/dL)"
"Kyrgyzstan",2019,"Male","0 to 14",3.59248945774874,2.97834982882447,4.3023513133291,"Blood lead (ug/dL)"
"Kyrgyzstan",2019,"Female","0 to 14",3.71516294761237,3.09442873750017,4.42507673107378,"Blood lead (ug/dL)"
"Mongolia",2019,"Male","0 to 14",2.86355525350019,2.407971960678,3.40422494869006,"Blood lead (ug/dL)"
"Mongolia",2019,"Female","0 to 14",2.96714282665652,2.4576187486622,3.52596204312729,"Blood lead (ug/dL)"
"Tajikistan",2019,"Male","0 to 14",5.408282719761,4.53786758244241,6.52136678074053,"Blood lead (ug/dL)"
"Tajikistan",2019,"Female","0 to 14",5.38095994305692,4.52002326663706,6.41018532978756,"Blood lead (ug/dL)"
"Turkmenistan",2019,"Male","0 to 14",2.07442142831938,1.74194606044869,2.44931176999322,"Blood lead (ug/dL)"
"Turkmenistan",2019,"Female","0 to 14",2.28697640084227,1.92747288099437,2.71563061362214,"Blood lead (ug/dL)"
"Uzbekistan",2019,"Male","0 to 14",2.96330135200723,2.48010940188185,3.51634952837581,"Blood lead (ug/dL)"
"Uzbekistan",2019,"Female","0 to 14",3.18180068294388,2.68319053349529,3.75185510308299,"Blood lead (ug/dL)"
"Albania",2019,"Male","0 to 14",4.65664299224626,3.87264479066539,5.53016104894146,"Blood lead (ug/dL)"
"Albania",2019,"Female","0 to 14",3.79860190124415,3.17069333975501,4.54580159176227,"Blood lead (ug/dL)"
"Bosnia and Herzegovina",2019,"Male","0 to 14",3.34992974222264,2.77270509277654,3.98069885374296,"Blood lead (ug/dL)"
"Bosnia and Herzegovina",2019,"Female","0 to 14",3.0808916031278,2.60464681662157,3.62941107928096,"Blood lead (ug/dL)"
"Bulgaria",2019,"Male","0 to 14",2.20142121054136,1.84048036807355,2.63570821854466,"Blood lead (ug/dL)"
"Bulgaria",2019,"Female","0 to 14",1.86534368784735,1.56712263103308,2.19666089450195,"Blood lead (ug/dL)"
"Croatia",2019,"Male","0 to 14",1.82878321470246,1.53071345801911,2.1864853603098,"Blood lead (ug/dL)"
"Croatia",2019,"Female","0 to 14",1.58584503477489,1.31201923337315,1.88971908407756,"Blood lead (ug/dL)"
"Czechia",2019,"Male","0 to 14",1.78747694135138,1.50312764125041,2.14737154386662,"Blood lead (ug/dL)"
"Czechia",2019,"Female","0 to 14",1.43792599524673,1.2032859511913,1.70483734391518,"Blood lead (ug/dL)"
"Hungary",2019,"Male","0 to 14",2.32693489595225,1.92142924007959,2.73434270043579,"Blood lead (ug/dL)"
"Hungary",2019,"Female","0 to 14",1.95727051916096,1.62821700734045,2.33619637163156,"Blood lead (ug/dL)"
"North Macedonia",2019,"Male","0 to 14",2.88614861819339,2.39832577676287,3.42562799799483,"Blood lead (ug/dL)"
"North Macedonia",2019,"Female","0 to 14",2.61951614378121,2.18890249821847,3.14233098129452,"Blood lead (ug/dL)"
"Montenegro",2019,"Male","0 to 14",1.98898660658039,1.67247645591386,2.35610830219631,"Blood lead (ug/dL)"
"Montenegro",2019,"Female","0 to 14",1.94093504859291,1.63315070934522,2.30522291232849,"Blood lead (ug/dL)"
