"location_name","year_id","sex","age_group","mean","lower","upper","measure"
"China",2019,"Both","0 to 14",3.5929891773982,3.50156040658443,3.68351752995001,"Blood lead (ug/dL)"
"Democratic People's Republic of Korea",2019,"Both","0 to 14",6.9952958583395,6.16538791632217,7.96387482744204,"Blood lead (ug/dL)"
"Taiwan (Province of China)",2019,"Both","0 to 14",1.79492361632042,1.61754675133205,1.98950469476848,"Blood lead (ug/dL)"
"Cambodia",2019,"Both","0 to 14",5.71543034438299,5.02567549364051,6.50212774839999,"Blood lead (ug/dL)"
"Indonesia",2019,"Both","0 to 14",3.47450872472275,3.34773548970901,3.60514951542097,"Blood lead (ug/dL)"
"Lao People's Democratic Republic",2019,"Both","0 to 14",4.12125125715975,3.60639827579191,4.6445824029222,"Blood lead (ug/dL)"
"Malaysia",2019,"Both","0 to 14",1.51651407318571,1.34484611925607,1.72024481330257,"Blood lead (ug/dL)"
"Maldives",2019,"Both","0 to 14",2.85098741429037,2.52055872202968,3.23113513883507,"Blood lead (ug/dL)"
"Myanmar",2019,"Both","0 to 14",4.36516347820989,3.84725441582734,4.94301971348161,"Blood lead (ug/dL)"
"Philippines",2019,"Both","0 to 14",5.29493261374727,4.66183070168009,6.03148356238976,"Blood lead (ug/dL)"
"Sri Lanka",2019,"Both","0 to 14",2.64814178695115,2.34423423398076,3.00068183619554,"Blood lead (ug/dL)"
"Thailand",2019,"Both","0 to 14",1.8164768545475,1.61545338417537,2.05572684903799,"Blood lead (ug/dL)"
"Timor-Leste",2019,"Both","0 to 14",5.32424560812192,4.69156484223224,6.00735805157892,"Blood lead (ug/dL)"
"Viet Nam",2019,"Both","0 to 14",3.55187635142007,3.12011637312487,4.03321153815339,"Blood lead (ug/dL)"
"Fiji",2019,"Both","0 to 14",1.56563327900888,1.38413449182454,1.77812410943307,"Blood lead (ug/dL)"
"Kiribati",2019,"Both","0 to 14",4.06633155267146,3.59026045158596,4.59383268268457,"Blood lead (ug/dL)"
"Marshall Islands",2019,"Both","0 to 14",2.7253746534052,2.40085132643002,3.06979189396407,"Blood lead (ug/dL)"
"Micronesia (Federated States of)",2019,"Both","0 to 14",2.90118944742515,2.56316596126971,3.3067236869864,"Blood lead (ug/dL)"
"Papua New Guinea",2019,"Both","0 to 14",2.34753318291852,2.06711653293416,2.64922792444938,"Blood lead (ug/dL)"
"Samoa",2019,"Both","0 to 14",2.35481893466412,2.04170408029199,2.67604276678202,"Blood lead (ug/dL)"
"Solomon Islands",2019,"Both","0 to 14",4.53305707166209,3.99923642437632,5.11282968872275,"Blood lead (ug/dL)"
"Tonga",2019,"Both","0 to 14",2.0186055842116,1.78821453086283,2.26891328826188,"Blood lead (ug/dL)"
"Vanuatu",2019,"Both","0 to 14",3.29174682057092,2.88331361422801,3.7313061086268,"Blood lead (ug/dL)"
"Armenia",2019,"Both","0 to 14",2.67675794986834,2.34693124744858,3.01245715054651,"Blood lead (ug/dL)"
"Azerbaijan",2019,"Both","0 to 14",2.4421629307856,2.14252460707528,2.79360409801565,"Blood lead (ug/dL)"
"Georgia",2019,"Both","0 to 14",2.35550150125935,2.0556746428725,2.67005739225485,"Blood lead (ug/dL)"
"Kazakhstan",2019,"Both","0 to 14",1.99840789683727,1.77427755875451,2.27091895290145,"Blood lead (ug/dL)"
