location_name,year_id,sex,age_group,mean,lower,upper,measure
China,2019,Male,0 to 14,18598685,13741602,24851463,Number of people with BLLs >5 ug/dL
China,2019,Female,0 to 14,9797169,7103554,13212047,Number of people with BLLs >5 ug/dL
Democratic People's Republic of Korea,2019,Male,0 to 14,2140263,1354904,2447407,Number of people with BLLs >5 ug/dL
Democratic People's Republic of Korea,2019,Female,0 to 14,1700432,770012,2249024,Number of people with BLLs >5 ug/dL
Taiwan (Province of China),2019,Male,0 to 14,25341,10889,56739,Number of people with BLLs >5 ug/dL
Taiwan (Province of China),2019,Female,0 to 14,8867,4046,17775,Number of people with BLLs >5 ug/dL
Cambodia,2019,Male,0 to 14,1714845,768258,2408486,Number of people with BLLs >5 ug/dL
Cambodia,2019,Female,0 to 14,1208966,360537,2074099,Number of people with BLLs >5 ug/dL
Indonesia,2019,Male,0 to 14,5054889,3331605,7282387,Number of people with BLLs >5 ug/dL
Indonesia,2019,Female,0 to 14,2787336,1835930,4127578,Number of people with BLLs >5 ug/dL
Lao People's Democratic Republic,2019,Male,0 to 14,320190,70914,742516,Number of people with BLLs >5 ug/dL
Lao People's Democratic Republic,2019,Female,0 to 14,228013,45634,596270,Number of people with BLLs >5 ug/dL
Malaysia,2019,Male,0 to 14,27129,11011,59195,Number of people with BLLs >5 ug/dL
Malaysia,2019,Female,0 to 14,21218,8660,46981,Number of people with BLLs >5 ug/dL
Maldives,2019,Male,0 to 14,3963,869,12631,Number of people with BLLs >5 ug/dL
Maldives,2019,Female,0 to 14,2211,582,6816,Number of people with BLLs >5 ug/dL
Myanmar,2019,Male,0 to 14,2688578,681642,5537163,Number of people with BLLs >5 ug/dL
Myanmar,2019,Female,0 to 14,1737290,359193,4347224,Number of people with BLLs >5 ug/dL
Philippines,2019,Male,0 to 14,11240140,4442503,16549362,Number of people with BLLs >5 ug/dL
Philippines,2019,Female,0 to 14,6375096,1693277,12850198,Number of people with BLLs >5 ug/dL
Sri Lanka,2019,Male,0 to 14,150503,34805,475076,Number of people with BLLs >5 ug/dL
Sri Lanka,2019,Female,0 to 14,71521,19558,224075,Number of people with BLLs >5 ug/dL
Thailand,2019,Male,0 to 14,81046,25413,198197,Number of people with BLLs >5 ug/dL
Thailand,2019,Female,0 to 14,34048,13867,81983,Number of people with BLLs >5 ug/dL
Timor-Leste,2019,Male,0 to 14,143787,48760,228786,Number of people with BLLs >5 ug/dL
Timor-Leste,2019,Female,0 to 14,110264,31674,198597,Number of people with BLLs >5 ug/dL
Viet Nam,2019,Male,0 to 14,2148735,456001,5705512,Number of people with BLLs >5 ug/dL
Viet Nam,2019,Female,0 to 14,921673,204516,2774586,Number of people with BLLs >5 ug/dL
Fiji,2019,Male,0 to 14,1037,402,2300,Number of people with BLLs >5 ug/dL
Fiji,2019,Female,0 to 14,1012,381,2334,Number of people with BLLs >5 ug/dL
Kiribati,2019,Male,0 to 14,6705,1805,13520,Number of people with BLLs >5 ug/dL
Kiribati,2019,Female,0 to 14,4302,933,9988,Number of people with BLLs >5 ug/dL
Marshall Islands,2019,Male,0 to 14,589,137,1757,Number of people with BLLs >5 ug/dL
Marshall Islands,2019,Female,0 to 14,505,116,1532,Number of people with BLLs >5 ug/dL
Micronesia (Federated States of),2019,Male,0 to 14,1287,297,4017,Number of people with BLLs >5 ug/dL
Micronesia (Federated States of),2019,Female,0 to 14,808,187,2467,Number of people with BLLs >5 ug/dL
Papua New Guinea,2019,Male,0 to 14,52129,15351,148521,Number of people with BLLs >5 ug/dL
Papua New Guinea,2019,Female,0 to 14,42848,12141,127196,Number of people with BLLs >5 ug/dL
Samoa,2019,Male,0 to 14,1418,344,4576,Number of people with BLLs >5 ug/dL
Samoa,2019,Female,0 to 14,1040,263,3264,Number of people with BLLs >5 ug/dL
Solomon Islands,2019,Male,0 to 14,52676,15841,92479,Number of people with BLLs >5 ug/dL
Solomon Islands,2019,Female,0 to 14,38734,10846,76181,Number of people with BLLs >5 ug/dL
Tonga,2019,Male,0 to 14,326,95,927,Number of people with BLLs >5 ug/dL
Tonga,2019,Female,0 to 14,305,98,896,Number of people with BLLs >5 ug/dL
Vanuatu,2019,Male,0 to 14,7018,1396,19182,Number of people with BLLs >5 ug/dL
Vanuatu,2019,Female,0 to 14,6796,1443,18281,Number of people with BLLs >5 ug/dL
Armenia,2019,Male,0 to 14,30864,13966,59479,Number of people with BLLs >5 ug/dL
Armenia,2019,Female,0 to 14,30346,13935,59496,Number of people with BLLs >5 ug/dL
Azerbaijan,2019,Male,0 to 14,96839,44463,184608,Number of people with BLLs >5 ug/dL
Azerbaijan,2019,Female,0 to 14,93825,41340,182063,Number of people with BLLs >5 ug/dL
Georgia,2019,Male,0 to 14,27546,11862,52739,Number of people with BLLs >5 ug/dL
Georgia,2019,Female,0 to 14,27274,12275,52881,Number of people with BLLs >5 ug/dL
Kazakhstan,2019,Male,0 to 14,127688,56338,243046,Number of people with BLLs >5 ug/dL
Kazakhstan,2019,Female,0 to 14,137160,61243,263921,Number of people with BLLs >5 ug/dL
Kyrgyzstan,2019,Male,0 to 14,208302,92512,398155,Number of people with BLLs >5 ug/dL
