iso3c,country,popn0019
ABW,Aruba,25566
AFG,Afghanistan,21189962
AGO,Angola,17994470
ALB,Albania,678808
AND,Andorra,14526
ARE,United Arab Emirates,1717231
ARG,Argentina,14250282
ARM,Armenia,732680
ASM,American Samoa,17715
ATG,Antigua and Barbuda,24614
AUS,Australia,6224293
AUT,Austria,1719364
AZE,Azerbaijan,3087127
BDI,Burundi,6768982
BEL,Belgium,2572815
BEN,Benin,6542428
BFA,Burkina Faso,11613000
BGD,Bangladesh,62454483
BGR,Bulgaria,1296450
BHR,Bahrain,379285
BHS,"Bahamas, The",117444
BIH,Bosnia and Herzegovina,679827
BLR,Belarus,2044447
BLZ,Belize,153708
BMU,Bermuda,12834
BOL,Bolivia,4891200
BRA,Brazil,61131743
BRB,Barbados,68153
BRN,Brunei Darussalam,135044
BTN,Bhutan,259113
BWA,Botswana,1068555
CAF,Central African Republic,3158263
CAN,Canada,8125432
CHE,Switzerland,1713657
CHI,Channel Islands,35156
CHL,Chile,4843728
CHN,China,335867774
CIV,Cote d'Ivoire,14016126
CMR,Cameroon,13749147
COD,"Congo, Dem. Rep.",51033147
COG,"Congo, Rep.",2881762
COL,Colombia,15399180
COM,Comoros,386049
CPV,Cabo Verde,211976
CRI,Costa Rica,1460335
CUB,Cuba,2490393
CUW,Curacao,39703
CYM,Cayman Islands,14308
CYP,Cyprus,260948
CZE,Czechia,2172604
DEU,Germany,15313021
DJI,Djibouti,452576
DMA,Dominica,20416
DNK,Denmark,1298305
DOM,Dominican Republic,4017422
DZA,Algeria,15943090
ECU,Ecuador,6235396
EGY,"Egypt, Arab Rep.",44586413
ERI,Eritrea,1840522
ESP,Spain,9270403
EST,Estonia,280142
ETH,Ethiopia,59328481
FIN,Finland,1173097
FJI,Fiji,348416
FRA,France,16023066
FRO,Faroe Islands,14334
FSM,"Micronesia, Fed. Sts.",47033
GAB,Gabon,1025529
GBR,United Kingdom,15615980
GEO,Georgia,976268
GHA,Ghana,15128395
GIB,Gibraltar,7594
GIN,Guinea,6868512
GMB,"Gambia, The",1383546
GNB,Guinea-Bissau,1028397
GNQ,Equatorial Guinea,727280
GRC,Greece,2091213
GRD,Grenada,38476
GRL,Greenland,15297
GTM,Guatemala,7477155
GUM,Guam,58726
GUY,Guyana,305989
HKG,"Hong Kong SAR, China",1199497
HND,Honduras,4221992
HRV,Croatia,778725
HTI,Haiti,4811743
HUN,Hungary,1908866
IDN,Indonesia,91975699
